33.03349,CH3OH as [M+H]+
42.03383,CH3CN as [M+H]+
59.06037,CH3CN as [M+NH4]+
63.04406,[C2H4O]nH2O as [A1B+H]+
64.01577,CH3CN as [M+Na]+
65.05971,CH3OH as [M2+H]+
74.06004,C3H7NO as [M+H]+
74.06004,(CH3CN)n(CH3OH)m as [A1B1+H]+
77.05971,[C3H6O]nH2O as [A1B+H]+
79.02121,C2H6OS as [M+H]+
83.06037,CH3CN as [M2+H]+
85.02600,[C2H4O]nH2O as [A1B+Na]+
85.05887,C2D6OS as [M+H]+
88.03931,(CH3CN)n(HCOOH)m as [A1B1+H]+
96.04198,(CH3CN)n(CH3OH)m as [A1B1+Na]+
99.04165,[C3H6O]nH2O as [A1B+Na]+
100.07569,C5H10NO as [M+H]+
100.99994,[C2H4O]nH2O as [A1B+K]+
101.00316,C2H6OS as [M+Na]+
101.08084,[MeOH]n[H2O]m as [A2B2+H]+
102.05496,(CH3CN)n(CH3COOH)m as [A1B1+H]+
102.12773,C6H15N as [M+H]+
103.95560,C2H3N as [M+63Cu]+
104.99229,C2H3O2Na as [M+Na]+
105.04232,C2H3N as [M2+Na]+
105.95379,C2H3N as [M+65Cu]+
107.07027,[C2H4O]nH2O as [A2B+H]+
115.01559,[C3H6O]nH2O as [A1B+K]+
115.08659,(CH3CN)n(C3H7NO)m as [A1B1+H]+
120.04776,C2H6OS as [M+CH3CN+H]+
122.08117,C4H11NO3 as [M+H]+
123.06278,[MeOH]n[H2O]m as [A2B2+Na]+
123.09167,C7H10N2 as [M+H]+
124.03690,(CH3CN)n(CH3COOH)m as [A1B1+Na]+
129.05222,[C2H4O]nH2O as [A2B+Na]+
130.15903,C8H19N as [M+H]+
132.90490,Cs as M+
133.10705,[MeOH]n[H2O]m as [A3B2+H]+
135.10157,[C3H6O]nH2O as [A2B+H]+
137.07431,C2H6OS as [M+CH3CN+NH4]+
142.02971,C2H6OS as [M+CH3CN+Na]+
144.17468,C9H21N as [M+H]+
144.98215,CH3CN as [M2+63Cu]+
145.02615,[C2H4O]nH2O as [A2B+K]+
146.06887,CH3CN as [M3+Na]+
146.98034,CH3CN as [M2+65Cu]+
147.11280,(CH3CN)n(CH3OH)m as [A2B2+H]+
149.02332,C8H4O3 as [f+H]+
150.12773,C10H15N as [M+H]+
151.09649,[C2H4O]nH2O as [A3B+H]+
153.13862,C9H16N2 as [M+H]+
155.08900,[MeOH]n[H2O]m as [A3B2+Na]+
157.03515,C2H6OS as [M2+H]+
157.08352,[C3H6O]nH2O as [A2B+Na]+
158.96403,C2F3O2Na as [M+Na]+
163.03897,C10H10O4 as [M-CH3OH+H]+
163.13287,C8H18O3 as [M+H]+
169.09475,(CH3CN)n(CH3OH)m as [A2B2+Na]+
169.11046,C2D6OS as [M2+H]+
171.00527,C8H4O3 as [f+Na]+
172.03931,C10H7NO3 as [M-H2O+H]+
173.05745,[C3H6O]nH2O as [A2B+K]+
173.07843,[C2H4O]nH2O as [A3B+Na]+
179.01709,C2H6OS as [M2+Na]+
181.12231,C11H16O2 as [M+H]+
183.08044,C13H10O as [M+H]+
183.14383,[MeOH]n[H2O]m as [A4B3+H]+
185.11482,C8H18O3 as [M+Na]+
186.22163,C12H27N as [M+H]+
189.05237,[C2H4O]nH2O as [A3B+K]+
190.04987,C10H7NO3 as [M+H]+
193.14344,[C3H6O]nH2O as [A3B+H]+
195.06519,C10H10O4 as [M+H]+
195.12270,[C2H4O]nH2O as [A4B+H]+
203.10425,C11H16O2 as [M+Na]+
205.12578,[MeOH]n[H2O]m as [A4B3+Na]+
212.03181,C10H7NO3 as [M+Na]+
214.08963,C10H15NO2S as [M+H]+
215.12538,[C3H6O]nH2O as [A3B+Na]+
217.10465,[C2H4O]nH2O as [A4B+Na]+
221.18999,C15H24O as [M+H]+
225.19614,C13H24N2O as [M+H]+
228.00575,C10H7NO3 as [M+K]+
231.09932,[C3H6O]nH2O as [A3B+K]+
231.11618,C10H15NO2S as [M+NH4]+
233.07858,[C2H4O]nH2O as [A4B+K]+
236.07157,C10H15NO2S as [M+Na]+
239.14892,[C2H4O]nH2O as [A5B+H]+
239.22485,C6H15N as [(M.H35Cl)2-Cl]+
241.22190,C6H15N as [(M.H37Cl)2-Cl]+
242.28423,C16H36N as M+
243.11683,C19H15 as M+
243.17194,C15H24O as [M+Na]+
251.18530,[C3H6O]nH2O as [A4B+H]+
251.20056,[C14H22O][C2H4O]n as [AB1+H]+
257.03103,C2H6OS as [M3+Na]+
261.13086,[C2H4O]nH2O as [A5B+Na]+
265.21621,[C15H24O][C2H4O]n as [AB1+H]+
267.17197,C12H27O4P as [M+H]+
273.12739,C20H17O as M+
273.16725,[C3H6O]nH2O as [A4B+Na]+
273.18250,[C14H22O][C2H4O]n as [AB1+Na]+
277.10480,[C2H4O]nH2O as [A5B+K]+
279.09333,C18H15OP as [M+H]+
279.15909,C16H22O4 as [M+H]+
279.22945,[C14H28O][C2H4O]n as [AB1+Na]+
282.27914,C18H35NO as [M+H]+
283.17513,[C2H4O]nH2O as [A6B+H]+
284.29479,C18H37NO as [M+H]+
287.19815,[C15H24O][C2H4O]n as [AB1+Na]+
288.25332,C16H33NO3 as [M+H]+
289.14118,[C3H6O]nH2O as [A4B+K]+
293.24510,[C15H30O][C2H4O]n as [AB1+Na]+
295.22677,[C14H22O][C2H4O]n as [AB2+H]+
301.14103,C16H22O4 as [M+Na]+
304.26108,C18H35NO as [M+Na]+
305.15708,[C2H4O]nH2O as [A6B+Na]+
306.27673,C18H37NO as [M+Na]+
309.22717,[C3H6O]nH2O as [A5B+H]+
309.24242,[C15H24O][C2H4O]n as [AB2+H]+
315.25299,C18H34O4 as [M+H]+
317.11497,C16H22O4 as [M+K]+
317.20872,[C14H22O][C2H4O]n as [AB2+Na]+
321.13101,[C2H4O]nH2O as [A6B+K]+
323.25567,[C14H28O][C2H4O]n as [AB2+Na]+
325.25847,C8H18O3 as [M2+H]+
327.07807,C18H15O4P as [M+H]+
327.20135,[C2H4O]nH2O as [A7B+H]+
331.20911,[C3H6O]nH2O as [A5B+Na]+
331.22437,[C15H24O][C2H4O]n as [AB2+Na]+
337.11841,C13H28O2Sn as [M+H]+;  (120Sn)
337.27132,[C15H30O][C2H4O]n as [AB2+Na]+
338.34174,C22H43NO as [M+H]+
339.25299,[C14H22O][C2H4O]n as [AB3+H]+
347.18305,[C3H6O]nH2O as [A5B+K]+
349.18329,[C2H4O]nH2O as [A7B+Na]+
353.26864,[C15H24O][C2H4O]n as [AB3+H]+
355.06994,[C2H6SiO]5 as [M+H-CH4]+
355.36829,C22H47N2OCl as [M-Cl]+
360.32368,C22H43NO as [M+Na]+
361.23493,[C14H22O][C2H4O]n as [AB3+Na]+
365.15723,[C2H4O]nH2O as [A7B+K]+
367.26903,[C3H6O]nH2O as [A6B+H]+
367.28188,[C14H28O][C2H4O]n as [AB3+Na]+
368.42508,C25H54NCl as [M-Cl]+
371.10124,[C2H6SiO]5 as [M+H]+
371.22756,[C2H4O]nH2O as [A8B+H]+
371.31559,C22H42O4 as [M+H]+
371.31559,C22H42O4 as [M+H]+
375.25058,[C15H24O][C2H4O]n as [AB3+Na]+
379.09246,C10H7NO3 as [M2+H]+
381.29753,[C15H30O][C2H4O]n as [AB3+Na]+
383.27920,[C14H22O][C2H4O]n as [AB4+H]+
388.12779,[C2H6SiO]5 as [M+NH4]+
389.25098,[C3H6O]nH2O as [A6B+Na]+
391.28429,C24H38O4 as [M+H]+
393.20951,[C2H4O]nH2O as [A8B+Na]+
397.29485,[C15H24O][C2H4O]n as [AB4+H]+
405.22491,[C3H6O]nH2O as [A6B+K]+
405.26115,[C14H22O][C2H4O]n as [AB4+Na]+
409.18344,[C2H4O]nH2O as [A8B+K]+
411.30810,[C14H28O][C2H4O]n as [AB4+Na]+
413.26623,C24H38O4 as [M+Na]+
415.25378,[C2H4O]nH2O as [A9B+H]+
419.27680,[C15H24O][C2H4O]n as [AB4+Na]+
425.31090,[C3H6O]nH2O as [A7B+H]+
425.32375,[C15H30O][C2H4O]n as [AB4+Na]+
427.30542,[C14H22O][C2H4O]n as [AB5+H]+
429.08873,[C2H6SiO]6 as [M+H-CH4]+
429.24017,C24H38O4 as [M+K]+
437.23572,[C2H4O]nH2O as [A9B+Na]+
441.01479,C10H7NO3 as [M3+63Cu(I)]+
441.32107,[C15H24O][C2H4O]n as [AB5+H]+
443.01298,C10H7NO3 as [M3+65Cu(I)]+
445.12003,[C2H6SiO]6 as [M+H]+
447.29284,[C3H6O]nH2O as [M+H]+
449.28736,[C14H22O][C2H4O]n as [AB5+Na]+
449.38500,C13H24N2O as [M2+H]+
453.20966,[C2H4O]nH2O as [A9B+K]+
453.34353,C24H44N4O4 as [M+H]+
454.29278,C24H38O4 as [M+CH3CN+Na]+
455.33431,[C14H28O][C2H4O]n as [AB5+Na]+
459.27999,[C2H4O]nH2O as [A10B+H]+
462.14658,[C2H6SiO]6 as [M+NH4]+
463.26678,[C3H6O]nH2O as [A7B+K]+
463.30301,[C15H24O][C2H4O]n as [AB5+Na]+
469.34996,[C15H30O][C2H4O]n as [AB5+Na]+
471.33163,[C14H22O][C2H4O]n as [AB6+H]+
472.28781,SLPR as [M+H]+
481.26194,[C2H4O]nH2O as [A10B+Na]+
483.35276,[C3H6O]nH2O as [A8B+H]+
485.34728,[C15H24O][C2H4O]n as [AB6+H]+
493.31358,[C14H22O][C2H4O]n as [AB6+Na]+
494.56593,C34H72NCl as [M-Cl]+
497.23587,[C2H4O]nH2O as [A10B+K]+
499.36053,[C14H28O][C2H4O]n as [AB6+Na]+
503.10752,[C2H6SiO]7 as [M+H-CH4]+
503.30621,[C2H4O]nH2O as [A11B+H]+
505.33471,[C3H6O]nH2O as [A8B+Na]+
507.32923,[C15H24O][C2H4O]n as [AB6+Na]+
513.37618,[C15H30O][C2H4O]n as [AB6+Na]+
515.33001,IQVR as [M+H]+
515.35785,[C14H22O][C2H4O]n as [AB7+H]+
515.41286,C30H58O4S as [M+H]+
519.13882,[C2H6SiO]7 as [M+H]+
521.30864,[C3H6O]nH2O as [A8B+K]+
522.59723,C36H76NCl as [M-Cl]+
525.28815,[C2H4O]nH2O as [A11B+Na]+
529.37350,[C15H24O][C2H4O]n as [AB7+H]+
531.40777,C30H58O5S as [M+H]+
531.47717,C35H62O3 as [M+H]+
536.16537,[C2H6SiO]7 as [M+NH4]+
537.33979,[C14H22O][C2H4O]n as [AB7+Na]+
537.87901,C2H4O2 as [M6-6H+3Fe+O]+
541.26209,[C2H4O]nH2O as [A11B+K]+
541.39463,[C3H6O]nH2O as [A9B+H]+
543.38674,[C14H28O][C2H4O]n as [AB7+Na]+
547.33242,[C2H4O]nH2O as [A12B+H]+
547.40269,C30H58O6S as [M+H]+
550.62853,C38H80NCl as [M-Cl]+
551.35544,[C15H24O][C2H4O]n as [AB7+Na]+
553.38972,C30H58O5S as [M+Na]+
553.45912,C35H62O3 as [M+Na]+
555.88957,C2H4O2 as [M6-6H+H2O+3Fe+O]+
557.40239,[C15H30O][C2H4O]n as [AB7+Na]+
559.38406,[C14H22O][C2H4O]n as [AB8+H]+
563.37657,[C3H6O]nH2O as [A9B+Na]+
568.13506,C10H7NO3 as [M3+H]+
569.31437,[C2H4O]nH2O as [A12B+Na]+
571.35622,VSLPR as [M+H]+
573.39971,[C15H24O][C2H4O]n as [AB8+H]+
577.12631,[C2H6SiO]8 as [M+H-CH4]+
579.35051,[C3H6O]nH2O as [A9B+K]+
581.36601,[C14H22O][C2H4O]n as [AB8+Na]+
585.28830,[C2H4O]nH2O as [A12B+K]+
587.41296,[C14H28O][C2H4O]n as [AB8+Na]+
591.35864,[C2H4O]nH2O as [A13B+H]+
593.15761,[C2H6SiO]8 as [M+H]+
595.38166,[C15H24O][C2H4O]n as [AB8+Na]+
597.90014,C2H4O2 as [M7-6H+3Fe+O]+
599.43649,[C3H6O]nH2O as [A10B+H]+
601.42861,[C15H30O][C2H4O]n as [AB8+Na]+
603.41028,[C14H22O][C2H4O]n as [AB9+H]+
606.09149,C10H7NO3 as [M3+K]+
610.18416,[C2H6SiO]8 as [M+NH4]+
613.34058,[C2H4O]nH2O as [A13B+Na]+
615.40375,C32H58N2O7S as [M+H]+
617.42593,[C15H24O][C2H4O]n as [AB9+H]+
621.41844,[C3H6O]nH2O as [A10B+Na]+
621.97291,C3H6O2 as [M6-6H+3Fe+O]+
625.39222,[C14H22O][C2H4O]n as [AB9+Na]+
629.31452,[C2H4O]nH2O as [A13B+K]+
631.43917,[C14H28O][C2H4O]n as [AB9+Na]+
633.32023,QTIASN as [M+H]+
635.38485,[C2H4O]nH2O as [A14B+H]+
637.39237,[C3H6O]nH2O as [A10B+K]+
639.40787,[C15H24O][C2H4O]n as [AB9+Na]+
645.45482,[C15H30O][C2H4O]n as [AB9+Na]+
646.35187,GLTAER (from YLDGLTAER) as [f+H]+
647.43649,[C14H22O][C2H4O]n as [AB10+H]+
651.14510,[C2H6SiO]9 as [M+H-CH4]+
657.36680,[C2H4O]nH2O as [A14B+Na]+
657.47836,[C3H6O]nH2O as [A11B+H]+
659.38350,SGIQVR as [M+H]+
661.45214,[C15H24O][C2H4O]n as [AB10+H]+
667.17640,[C2H6SiO]9 as [M+H]+
669.41844,[C14H22O][C2H4O]n as [AB10+Na]+
672.40390,TVSLPR as [M+H]+
672.40390,TVSLPR as [M+H]+
673.34073,[C2H4O]nH2O as [A14B+K]+
675.46539,[C14H28O][C2H4O]n as [AB10+Na]+
679.41107,[C2H4O]nH2O as [A15B+H]+
679.46030,[C3H6O]nH2O as [A11B+Na]+
679.51166,C36H66N6O6 as [M+H]+
683.43409,[C15H24O][C2H4O]n as [AB10+Na]+
684.20295,[C2H6SiO]9 as [M+NH4]+
689.48104,[C15H30O][C2H4O]n as [AB10+Na]+
691.46271,[C14H22O][C2H4O]n as [AB11+H]+
695.43424,[C3H6O]nH2O as [A11B+K]+
701.39301,[C2H4O]nH2O as [A15B+Na]+
704.38250,LDSELK as [M+H]+
705.47836,[C15H24O][C2H4O]n as [AB11+H]+
713.44465,[C14H22O][C2H4O]n as [AB11+Na]+
715.52022,[C3H6O]nH2O as [A12B+H]+
717.36695,[C2H4O]nH2O as [A15B+K]+
719.49160,[C14H28O][C2H4O]n as [AB11+Na]+
723.43728,[C2H4O]nH2O as [A16B+H]+
725.16390,[C2H6SiO]10 as [M+H-CH4]+
727.46030,[C15H24O][C2H4O]n as [AB11+Na]+
732.46544,GLVLIAF as [M+H]+
733.50725,[C15H30O][C2H4O]n as [AB11+Na]+
735.48892,[C14H22O][C2H4O]n as [AB12+H]+
737.50217,[C3H6O]nH2O as [A12B+Na]+
741.19520,[C2H6SiO]10 as [M+H]+
742.44979,GPFPILV as [M+H]+
743.44101,ATVSLPR as [M+H]+
745.41923,[C2H4O]nH2O as [A16B+Na]+
749.50457,[C15H24O][C2H4O]n as [AB12+H]+
753.47610,[C3H6O]nH2O as [A12B+K]+
757.47087,[C14H22O][C2H4O]n as [AB12+Na]+
758.22175,[C2H6SiO]10 as [M+NH4]+
758.41553,PATLNSR as [M+H]+
761.39316,[C2H4O]nH2O as [A16B+K]+
763.51782,[C14H28O][C2H4O]n as [AB12+Na]+
767.46350,[C2H4O]nH2O as [A17B+H]+
771.48652,[C15H24O][C2H4O]n as [AB12+Na]+
773.56209,[C3H6O]nH2O as [A13B+H]+
777.53347,[C15H30O][C2H4O]n as [AB12+Na]+
779.51514,[C14H22O][C2H4O]n as [AB13+H]+
789.44544,[C2H4O]nH2O as [A17B+Na]+
793.53079,[C15H24O][C2H4O]n as [AB13+H]+
795.54403,[C3H6O]nH2O as [A13B+Na]+
798.58785,C24H38O4 as [M2+NH4]+
